REG  1 = 0xffffff95
REG  2 = 0x00000032
MEM[  0] = 0x0000000a
MEM[  1] = 0x00000014
REG  3 = 0xffffff95
REG  4 = 0x00000095
REG  5 = 0xffffff95
REG  6 = 0x0000ff95
REG  7 = 0x00003000
REG  8 = 0x00000024
REG  9 = 0x00000001
REG 10 = 0x00000001
REG 11 = 0x00000001
REG 12 = 0x00000001
REG 14 = 0x00000001
REG 15 = 0x00000000
REG 16 = 0x0000006c
REG 15 = 0x00000001
REG 17 = 0x00000000
REG 18 = 0x0000007c
REG 17 = 0x00000001
MEM[  0] = 0x00000095
MEM[  1] = 0x0000ff95
MEM[  2] = 0xxxxxxxxx
MEM[  3] = 0xxxxxxxxx
MEM[  4] = 0xxxxxxxxx
MEM[  5] = 0xxxxxxxxx
MEM[  6] = 0xxxxxxxxx
MEM[  7] = 0xxxxxxxxx
MEM[  8] = 0xxxxxxxxx
MEM[  9] = 0xxxxxxxxx
MEM[ 10] = 0xxxxxxxxx
MEM[ 11] = 0xxxxxxxxx
MEM[ 12] = 0xxxxxxxxx
--- estado final ---
FINAL REG  1 = 0xffffff95
FINAL REG  2 = 0x00000032
FINAL REG  3 = 0xffffff95
FINAL REG  4 = 0x00000095
FINAL REG  5 = 0xffffff95
FINAL REG  6 = 0x0000ff95
FINAL REG  7 = 0x00003000
FINAL REG  8 = 0x00000024
FINAL REG  9 = 0x00000001
FINAL REG 10 = 0x00000001
FINAL REG 11 = 0x00000001
FINAL REG 12 = 0x00000001
FINAL REG 13 = 0xxxxxxxxx
FINAL REG 14 = 0x00000001
FINAL REG 15 = 0x00000001
FINAL REG 16 = 0x0000006c
FINAL REG 17 = 0x00000001
FINAL REG 18 = 0x0000007c
FINAL REG 19 = 0xxxxxxxxx
FINAL REG 20 = 0xxxxxxxxx
FINAL REG 21 = 0xxxxxxxxx
FINAL REG 22 = 0xxxxxxxxx
FINAL REG 23 = 0xxxxxxxxx
FINAL REG 24 = 0xxxxxxxxx
FINAL REG 25 = 0xxxxxxxxx
FINAL REG 26 = 0xxxxxxxxx
FINAL REG 27 = 0xxxxxxxxx
FINAL REG 28 = 0xxxxxxxxx
FINAL REG 29 = 0xxxxxxxxx
FINAL REG 30 = 0xxxxxxxxx
FINAL REG 31 = 0xxxxxxxxx
FINAL MEM[  0] = 0xffffff95
FINAL MEM[  1] = 0x00000095
FINAL MEM[  2] = 0xffffff95
FINAL MEM[  3] = 0x0000ff95
FINAL MEM[  4] = 0x00003000
FINAL MEM[  5] = 0x00000024
FINAL MEM[  6] = 0x00000001
FINAL MEM[  7] = 0x00000001
FINAL MEM[  8] = 0x00000001
FINAL MEM[  9] = 0x00000001
FINAL MEM[ 10] = 0x00000001
FINAL MEM[ 11] = 0x00000001
FINAL MEM[ 12] = 0x00000001
FINAL MEM[ 13] = 0xxxxxxxxx
FINAL MEM[ 14] = 0xxxxxxxxx
FINAL MEM[ 15] = 0xxxxxxxxx
